(Thu Aug  3 11:33:40 2023, 0, root, stdhex, 103.65.228.53, -1, 60),
(Fri Aug  4 23:25:55 2023, 2, root, wraflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:26:27 2023, 3, root, ackflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:27:01 2023, 4, root, stompflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:30:17 2023, 0, root, synflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:30:42 2023, 1, root, wraflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:31:04 2023, 2, root, ackflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:31:30 2023, 3, root, tcpnull, 80.82.76.67, -1, 10),
(Fri Aug  4 23:31:55 2023, 4, root, tcpbypass, 80.82.76.67, -1, 10),
(Fri Aug  4 23:32:31 2023, 5, root, greip, 80.82.76.67, -1, 10),
(Fri Aug  4 23:32:55 2023, 6, root, syndataflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:33:52 2023, 7, root, icmpflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:34:20 2023, 8, root, icmpflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:34:39 2023, 9, root, icmpflood, 74.74.74.74, -1, 10),
(Fri Aug  4 23:36:00 2023, 10, root, icmpflood, 46.166.142.81, -1, 15),
(Fri Aug  4 23:44:10 2023, 11, root, udpflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:50:25 2023, 0, root, tcpbypass, 80.82.76.67, -1, 10),
(Fri Aug  4 23:50:54 2023, 1, root, syndataflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:51:24 2023, 2, root, ackflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:51:45 2023, 3, root, wraflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:52:05 2023, 4, root, synflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:52:24 2023, 5, root, udpflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:52:49 2023, 6, root, plainflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:53:29 2023, 7, root, vseflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:54:50 2023, 8, root, icmpflood, 74.74.74.74, -1, 30),
